Date,Not indexed,Indexed,Impressions
2026-01-18,,,0
2026-01-19,,,0
2026-01-20,150,1,0
2026-01-21,145,1,0
2026-01-22,145,1,0
2026-01-23,145,1,0
2026-01-24,145,1,1
2026-01-25,143,1,0
2026-01-26,143,1,0
2026-01-27,143,1,1
2026-01-28,143,1,1
2026-01-29,143,1,0
2026-01-30,143,1,0
2026-01-31,143,1,0
2026-02-01,143,1,0
2026-02-02,143,1,0
2026-02-03,143,1,1
2026-02-04,143,1,0
2026-02-05,143,1,0
2026-02-06,143,1,0
2026-02-07,143,1,0
2026-02-08,142,1,0
2026-02-09,142,1,0
2026-02-10,142,1,0
2026-02-11,141,1,1
2026-02-12,141,1,0
2026-02-13,141,1,0
2026-02-14,141,1,0
2026-02-15,141,1,0
2026-02-16,141,1,0
2026-02-17,141,1,0
2026-02-18,141,1,0
2026-02-19,141,1,0
2026-02-20,141,1,0
2026-02-21,141,1,3
2026-02-22,141,1,0
2026-02-23,141,1,0
2026-02-24,141,1,1
2026-02-25,139,1,0
2026-02-26,139,1,0
2026-02-27,139,1,0
2026-02-28,139,1,0
2026-03-01,139,1,0
2026-03-02,139,1,0
2026-03-03,139,1,0
2026-03-04,134,1,0
2026-03-05,134,1,0
2026-03-06,134,1,0
2026-03-07,134,1,0
2026-03-08,130,1,0
2026-03-09,130,1,0
2026-03-10,130,1,0
2026-03-11,125,1,2
2026-03-12,125,1,0
2026-03-13,125,1,1
2026-03-14,125,1,1
2026-03-15,125,1,0
2026-03-16,119,1,0
2026-03-17,119,1,1
2026-03-18,107,1,1
2026-03-19,107,1,0
2026-03-20,107,1,0
2026-03-21,107,1,0
2026-03-22,103,1,1
2026-03-23,103,1,0
2026-03-24,103,1,0
2026-03-25,91,1,0
2026-03-26,91,1,0
2026-03-27,91,1,0
2026-03-28,91,1,1
2026-03-29,82,1,0
2026-03-30,82,1,1
2026-03-31,82,1,6
2026-04-01,74,1,0
2026-04-02,74,1,1
2026-04-03,74,1,0
2026-04-04,74,1,0
2026-04-05,60,1,0
2026-04-06,60,1,1
2026-04-07,43,1,0
2026-04-08,43,1,0
2026-04-09,43,1,3
2026-04-10,43,1,0
2026-04-11,38,1,0
2026-04-12,38,1,0
2026-04-13,38,1,0